CONSÓRCIO/EMPRESA	SERVIÇO	LINHA	INTEGRAÇÃO	CIRCULARDENOMINAÇÃO		EXTENSÃO	TARIFA	PEDÁGIO	INTEGRAÇÃO	+ PEDÁGIO
ABC	COMUM	196	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 1	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 11 CO	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 12 SA	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 15 P	18.551	3,90	-	2,12	6,02
ABC	COMUM	238	-	-	SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES)- SANTO ANDRE (TERMINAL METROPOLITANO SANT	25.850	3,90	-	-	3,90
ABC	COMUM	238	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA 1	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LI	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LIN	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA 5	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA 7 R	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINH	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LIN	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LIN	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA	25.850	3,90	-	2,12	6,02
ABC	COMUM	238	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - LINHA	25.850	3,90	-	2,12	6,02
										
(*)A tarifa+pedágio:valor pago pelo usuário										
(1)O usuário c/ origem no Metrô ou SPTRANS, paga o complemento no Ônibus Interm.										
(2)Legenda p/ integ.tarifárias: 201 a 215: Trilhos; 300-399:Ônibus Interm.; 400-499:Ônibus Munic.; 500-699:Ônibus Cor. ABD										
										
										
										
										
										
RELATÓRIO TARIFÁRIO - RMSP										
										
Data da Vigência:	09.01.2016									
Data da Atualização:	14.03.2016									
			SEÇÃO/					PARCELA	PARCELA	TARIFA
CONSÓRCIO/EMPRESA	SERVIÇO	LINHA	INTEGRAÇÃO	CIRCULARDENOMINAÇÃO		EXTENSÃO	TARIFA	PEDÁGIO	INTEGRAÇÃO	+ PEDÁGIO
			-2						TRILHOS	+ TRILHOS
ABC	COMUM	366	-	-	SAO BERNARDO DO CAMPO (PARQUE SELECTA)- SANTO ANDRE (JARDIM CRISTIANE) via SAO BERNARDO	21.552	3,90	-	-	3,90
ABC	COMUM	366	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 1 AZUL	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 2 VE	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 3	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 4	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 5 LILA	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 7 RUBI D	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 8 D	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 9	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 1	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 11 CO	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 12 SA	21.552	3,90	-	2,12	6,02
ABC	COMUM	366	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 15 P	21.552	3,90	-	2,12	6,02
ABC	COMUM	409	-	-	SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS)- SANTO ANDRE (TERMINAL METROPOLITANO SANTO	25.577	3,90	-	-	3,90
ABC	COMUM	409	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 1 AZ	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 2 V	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINH	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 5 LIL	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 7 RUBI	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 8	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 11	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 12	25.577	3,90	-	2,12	6,02
ABC	COMUM	409	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS) - LINHA 1	25.577	3,90	-	2,12	6,02
ABC	COMUM	409BI1	-	-	SAO BERNARDO DO CAMPO (PARQUE ALVARENGA)- SANTO ANDRE (TERMINAL METROPOLITANO SANTO	24.092	3,90	-	-	3,90
ABC	COMUM	409BI1	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 1 A	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 2	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINH	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 5 L	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 7 RUB	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINH	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINH	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 11	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 12	24.092	3,90	-	2,12	6,02
ABC	COMUM	409BI1	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - LINHA 1	24.092	3,90	-	2,12	6,02
										
(*)A tarifa+pedágio:valor pago pelo usuário										
(1)O usuário c/ origem no Metrô ou SPTRANS, paga o complemento no Ônibus Interm.										
(2)Legenda p/ integ.tarifárias: 201 a 215: Trilhos; 300-399:Ônibus Interm.; 400-499:Ônibus Munic.; 500-699:Ônibus Cor. ABD										
										
										
										
										
										
RELATÓRIO TARIFÁRIO - RMSP										
										
Data da Vigência:	09.01.2016									
Data da Atualização:	14.03.2016									
			SEÇÃO/					PARCELA	PARCELA	TARIFA
CONSÓRCIO/EMPRESA	SERVIÇO	LINHA	INTEGRAÇÃO	CIRCULARDENOMINAÇÃO		EXTENSÃO	TARIFA	PEDÁGIO	INTEGRAÇÃO	+ PEDÁGIO
			-2						TRILHOS	+ TRILHOS
ANHANGUERA	COMUM	014	-	C	FRANCO DA ROCHA (PARQUE VITORIA)- CAIEIRAS (CENTRO)	27.458	4,10	-	-	4,10
ANHANGUERA	COMUM	014	201	C	Integração com LINHA 1 AZUL DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 1 AZUL DO MET	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	202	C	Integração com LINHA 2 VERDE DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 2 VERDE DO M	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	203	C	Integração com LINHA 3 VERMELHA DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 3 VERMEL	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	204	C	Integração com LINHA 4 AMARELA DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 4 AMARELA	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	205	C	Integração com LINHA 5 LILAS DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 5 LILAS DO MET	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	207	C	Integração com LINHA 7 RUBI DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 7 RUBI DA CPTM	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	208	C	Integração com LINHA 8 DIAMANTE DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 8 DIAMANTE	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	209	C	Integração com LINHA 9 ESMERALDA DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 9 ESMERA	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	210	C	Integração com LINHA 10 TURQUESA DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 1- TURQUE	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	211	C	Integração com LINHA 11 CORAL DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 11 CORAL DA C	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	212	C	Integração com LINHA 12 SAFIRA DA CPTM - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 12 SAFIRA DA	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	014	215	C	Integração com LINHA 15 PRATA DO METRO - FRANCO DA ROCHA (PARQUE VITORIA) - LINHA 15 PRATA DO	27.458	4,10	-	2,12	6,22
ANHANGUERA	COMUM	020	-	-	CARAPICUIBA (VILA DIRCE)- SAO PAULO (PINHEIROS)	28.154	5,10	-	-	5,10
ANHANGUERA	COMUM	020	01	-	CARAPICUIBA (VILA DIRCE) - OSASCO (TERMINAL MUNICIPAL DE VILA IARA)	15.997	4,10	-	-	4,10
ANHANGUERA	COMUM	020	201	-	Integração com LINHA 1 AZUL DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 1 AZUL DO METRO	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	202	-	Integração com LINHA 2 VERDE DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 2 VERDE DO METRO	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	203	-	Integração com LINHA 3 VERMELHA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 3 VERMELHA DO METR	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	204	-	Integração com LINHA 4 AMARELA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 4 AMARELA DO METRO	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	205	-	Integração com LINHA 5 LILAS DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 5 LILAS DO METRO	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	207	-	Integração com LINHA 7 RUBI DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 7 RUBI DA CPTM	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 8 DIAMANTE DA CPTM	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 9 ESMERALDA DA CPT	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	210	-	Integração com LINHA 10 TURQUESA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 1- TURQUESA DA CPTM	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	211	-	Integração com LINHA 11 CORAL DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 11 CORAL DA CPTM	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	212	-	Integração com LINHA 12 SAFIRA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 12 SAFIRA DA CPTM	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	215	-	Integração com LINHA 15 PRATA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 15 PRATA DO METRO	28.154	5,10	-	2,12	7,22
ANHANGUERA	COMUM	020	401	-	Integração com LINHAS MUNICIPAIS DE CARAPICUIBA - CARAPICUIBA ( JD. TONATO / PQ. JANDAIA / JD. ANG	36.415	6,15	-	-	6,15
ANHANGUERA	COMUM	022	-	-	CARAPICUIBA (VILA DIRCE) - OSASCO (V.YARA)	16.769	4,10	-	-	4,10
ANHANGUERA	COMUM	022	201	-	Integração com LINHA 1 AZUL DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 1 AZUL DO METRO	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	202	-	Integração com LINHA 2 VERDE DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 2 VERDE DO METRO	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	203	-	Integração com LINHA 3 VERMELHA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 3 VERMELHA DO METR	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	204	-	Integração com LINHA 4 AMARELA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 4 AMARELA DO METRO	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	205	-	Integração com LINHA 5 LILAS DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 5 LILAS DO METRO	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	207	-	Integração com LINHA 7 RUBI DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 7 RUBI DA CPTM	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 8 DIAMANTE DA CPTM	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 9 ESMERALDA DA CPT	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	210	-	Integração com LINHA 10 TURQUESA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 1- TURQUESA DA CPTM	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	211	-	Integração com LINHA 11 CORAL DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 11 CORAL DA CPTM	16.769	4,10	-	2,12	6,22
										
(*)A tarifa+pedágio:valor pago pelo usuário										
(1)O usuário c/ origem no Metrô ou SPTRANS, paga o complemento no Ônibus Interm.										
(2)Legenda p/ integ.tarifárias: 201 a 215: Trilhos; 300-399:Ônibus Interm.; 400-499:Ônibus Munic.; 500-699:Ônibus Cor. ABD										
										
										
										
										
										
RELATÓRIO TARIFÁRIO - RMSP										
										
Data da Vigência:	09.01.2016									
Data da Atualização:	14.03.2016									
			SEÇÃO/					PARCELA	PARCELA	TARIFA
CONSÓRCIO/EMPRESA	SERVIÇO	LINHA	INTEGRAÇÃO	CIRCULARDENOMINAÇÃO		EXTENSÃO	TARIFA	PEDÁGIO	INTEGRAÇÃO	+ PEDÁGIO
			-2						TRILHOS	+ TRILHOS
ANHANGUERA	COMUM	022	212	-	Integração com LINHA 12 SAFIRA DA CPTM - CARAPICUIBA (VILA DIRCE) - LINHA 12 SAFIRA DA CPTM	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	022	215	-	Integração com LINHA 15 PRATA DO METRO - CARAPICUIBA (VILA DIRCE) - LINHA 15 PRATA DO METRO	16.769	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	-	-	ITAPEVI (JARDIM AMADOR BUENO)- COTIA (T.M.COTIA)	14.061	4,10	-	-	4,10
ANHANGUERA	COMUM	024	201	-	Integração com LINHA 1 AZUL DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 1 AZUL DO METRO	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	202	-	Integração com LINHA 2 VERDE DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 2 VERDE DO METR	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	203	-	Integração com LINHA 3 VERMELHA DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 3 VERMELHA D	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	204	-	Integração com LINHA 4 AMARELA DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 4 AMARELA DO	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	205	-	Integração com LINHA 5 LILAS DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 5 LILAS DO METRO	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	207	-	Integração com LINHA 7 RUBI DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 7 RUBI DA CPTM	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 8 DIAMANTE DA C	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 9 ESMERALDA	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	210	-	Integração com LINHA 10 TURQUESA DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 1- TURQUESA D	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	211	-	Integração com LINHA 11 CORAL DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 11 CORAL DA CPTM	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	212	-	Integração com LINHA 12 SAFIRA DA CPTM - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 12 SAFIRA DA CPTM	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	215	-	Integração com LINHA 15 PRATA DO METRO - ITAPEVI (JARDIM AMADOR BUENO) - LINHA 15 PRATA DO MET	14.061	4,10	-	2,12	6,22
ANHANGUERA	COMUM	024	301	-	Integração com Linha 133 - ITAPEVI (JARDIM AMADOR BUENO) - OSASCO (CENTRO)	29.715	5,15	-	-	5,15
